timestamp,open,high,low,close,volume
2025-01-22 15:30:00,3275.95,3288.09,3270.0,3278.39,12866.2799
2025-01-22 16:00:00,3278.39,3280.64,3259.93,3279.8,13489.1747
2025-01-22 16:30:00,3279.81,3283.11,3269.1,3277.9,6371.0586
2025-01-22 17:00:00,3277.9,3285.62,3272.16,3282.06,4549.6397
2025-01-22 17:30:00,3282.06,3287.49,3275.75,3285.39,4126.5815
2025-01-22 18:00:00,3285.4,3291.3,3262.8,3268.66,5483.093
2025-01-22 18:30:00,3268.67,3278.0,3239.4,3249.93,11162.8767
2025-01-22 19:00:00,3249.94,3277.66,3248.3,3268.89,9045.8859
2025-01-22 19:30:00,3268.89,3280.65,3260.0,3261.99,7342.8464
2025-01-22 20:00:00,3262.0,3272.75,3260.33,3271.77,5837.8475
2025-01-22 20:30:00,3271.76,3276.6,3253.79,3256.61,5526.4314
2025-01-22 21:00:00,3256.6,3257.54,3241.37,3253.24,7719.8713
2025-01-22 21:30:00,3253.24,3264.87,3253.24,3259.32,4128.2017
2025-01-22 22:00:00,3259.32,3263.0,3241.38,3250.66,3909.7684
2025-01-22 22:30:00,3250.67,3266.36,3233.02,3238.89,5899.7322
2025-01-22 23:00:00,3238.89,3244.84,3222.85,3241.06,9800.3847
2025-01-22 23:30:00,3241.05,3246.87,3237.51,3242.6,3617.4084
2025-01-23 00:00:00,3242.61,3257.73,3238.21,3255.0,7521.2103
2025-01-23 00:30:00,3255.0,3261.34,3244.52,3253.62,5746.081
2025-01-23 01:00:00,3253.62,3258.38,3246.25,3254.94,4781.1489
2025-01-23 01:30:00,3254.94,3256.32,3220.43,3235.26,10505.4037
2025-01-23 02:00:00,3235.27,3237.38,3204.18,3224.79,16369.645
2025-01-23 02:30:00,3224.79,3226.92,3211.11,3223.13,8699.4226
2025-01-23 03:00:00,3223.13,3241.56,3220.48,3241.11,7315.0619
2025-01-23 03:30:00,3241.12,3243.22,3215.77,3226.92,5700.9084
2025-01-23 04:00:00,3227.0,3231.72,3206.32,3208.0,6533.285
2025-01-23 04:30:00,3208.0,3215.4,3185.0,3197.5,17517.343
2025-01-23 05:00:00,3197.51,3212.26,3196.61,3208.0,4725.7329
2025-01-23 05:30:00,3208.0,3221.32,3205.8,3215.0,4909.043
2025-01-23 06:00:00,3215.0,3225.1,3210.06,3224.32,3780.0658
2025-01-23 06:30:00,3224.31,3225.28,3204.81,3208.1,5173.3161
2025-01-23 07:00:00,3208.11,3217.99,3199.0,3214.99,5819.0695
2025-01-23 07:30:00,3214.99,3234.0,3207.88,3233.48,7416.6098
2025-01-23 08:00:00,3233.48,3233.65,3219.22,3222.09,5030.3372
2025-01-23 08:30:00,3222.08,3225.39,3208.63,3210.05,5765.5576
2025-01-23 09:00:00,3210.06,3221.76,3209.52,3216.36,4746.1761
2025-01-23 09:30:00,3216.37,3216.76,3192.09,3197.01,7806.875
2025-01-23 10:00:00,3197.01,3213.37,3193.8,3210.01,7052.5575
2025-01-23 10:30:00,3210.02,3212.5,3188.89,3203.99,8443.336
2025-01-23 11:00:00,3204.0,3210.5,3195.35,3207.76,9858.0855
2025-01-23 11:30:00,3207.75,3216.75,3207.7,3213.08,5611.779
2025-01-23 12:00:00,3213.08,3218.18,3189.69,3202.6,12663.4427
2025-01-23 12:30:00,3202.55,3214.86,3199.66,3203.75,9452.8259
2025-01-23 13:00:00,3203.75,3215.88,3202.01,3208.22,8333.0096
2025-01-23 13:30:00,3208.23,3243.0,3207.52,3233.99,17287.2128
2025-01-23 14:00:00,3233.99,3238.15,3222.66,3234.58,10607.9121
2025-01-23 14:30:00,3234.57,3286.72,3231.56,3275.55,42426.3996
2025-01-23 15:00:00,3275.55,3282.0,3225.68,3234.88,44893.6556
2025-01-23 15:30:00,3234.87,3266.09,3233.88,3259.33,16635.3035
2025-01-23 16:00:00,3259.33,3297.49,3256.42,3275.85,23009.9763
2025-01-23 16:30:00,3275.86,3283.44,3252.5,3254.72,10501.5045
2025-01-23 17:00:00,3254.72,3254.72,3230.74,3248.48,11400.4089
2025-01-23 17:30:00,3248.48,3272.0,3244.29,3265.85,7390.7934
2025-01-23 18:00:00,3265.85,3270.28,3243.61,3258.8,5288.3584
2025-01-23 18:30:00,3258.8,3261.95,3235.29,3241.09,5661.5215
2025-01-23 19:00:00,3241.09,3246.88,3206.66,3214.26,11554.8962
2025-01-23 19:30:00,3214.26,3227.27,3195.0,3204.98,11321.7186
2025-01-23 20:00:00,3204.98,3295.47,3196.25,3283.05,48931.8669
2025-01-23 20:30:00,3283.04,3293.24,3225.56,3247.18,38163.0748
2025-01-23 21:00:00,3247.17,3255.72,3213.93,3236.38,16447.7017
2025-01-23 21:30:00,3236.38,3255.86,3225.13,3248.56,10234.1694
2025-01-23 22:00:00,3248.56,3298.0,3246.25,3292.09,20265.5968
2025-01-23 22:30:00,3292.08,3323.49,3292.08,3322.36,19108.3885
2025-01-23 23:00:00,3322.36,3345.0,3312.0,3336.36,16859.0567
2025-01-23 23:30:00,3336.36,3347.97,3327.95,3338.21,10325.8773
2025-01-24 00:00:00,3338.22,3349.6,3313.61,3314.23,12022.1959
2025-01-24 00:30:00,3314.23,3316.29,3284.6,3285.42,11686.9875
2025-01-24 01:00:00,3285.42,3319.43,3284.27,3318.81,9633.8279
2025-01-24 01:30:00,3318.8,3325.97,3285.66,3298.49,11021.5715
2025-01-24 02:00:00,3298.49,3313.9,3289.06,3307.0,6076.942
2025-01-24 02:30:00,3306.99,3312.32,3280.24,3285.41,7382.0223
2025-01-24 03:00:00,3285.41,3307.33,3275.9,3298.51,10443.4414
2025-01-24 03:30:00,3298.51,3313.13,3296.44,3302.26,11553.4984
2025-01-24 04:00:00,3302.26,3310.5,3292.23,3303.51,4896.8513
2025-01-24 04:30:00,3303.5,3340.4,3300.3,3333.4,12417.4471
2025-01-24 05:00:00,3333.4,3375.59,3329.3,3367.5,21278.4055
2025-01-24 05:30:00,3367.5,3409.99,3364.14,3409.96,19774.1016
2025-01-24 06:00:00,3409.97,3421.0,3388.0,3396.8,22124.1243
2025-01-24 06:30:00,3396.8,3405.0,3378.0,3386.4,13275.0667
